

2013-11-05 16:20:31	------ log is starting ------	SitW Phidgets Key       v4.6 GH v1.4
2013-11-05 16:20:36	right	(1558,446)	
2013-11-05 16:20:40	down	(1558,556)	
2013-11-05 16:22:04	up	(938,13)	
2013-11-05 16:22:14	down	(938,846)	
2013-11-05 16:22:19	down	(938,1066)	
2013-11-05 16:22:27	right	(1869,12)	
2013-11-05 16:22:38	right	(1854,387)	
2013-11-05 16:22:41	right	(1909,387)	
2013-11-05 16:22:46	left	(1470,387)	
2013-11-05 16:22:51	left	(12,329)	
2013-11-05 16:22:56	up	(12,13)	
2013-11-05 16:22:57	right	(25,13)	
2013-11-05 16:22:58	up	(25,13)	
2013-11-05 16:23:01	down	(25,253)	
2013-11-05 16:23:02	left	(12,253)	
2013-11-05 16:23:03	right	(59,253)	
2013-11-05 16:23:07	up	(59,13)	
2013-11-05 16:23:11	right	(1213,813)	
2013-11-05 16:23:18	up	(1213,131)	
2013-11-05 16:23:19	clicked	(1213,131)	
2013-11-05 16:23:25	left	(629,131)	
2013-11-05 16:23:28	right	(848,131)	
2013-11-05 16:23:29	clicked	(848,131)	
2013-11-05 16:23:30	left	(753,131)	
2013-11-05 16:23:39	right	(945,131)	
2013-11-05 16:23:40	clicked	(945,131)	
2013-11-05 16:23:43	right	(1213,131)	
2013-11-05 16:23:45	up	(1213,14)	
2013-11-05 16:23:48	clicked	(1213,14)	
2013-11-05 16:23:49	dclicked	(1213,14)	
2013-11-05 16:23:52	clicked	(1213,14)	
2013-11-05 16:23:59	dclicked	(1213,14)	
2013-11-05 16:24:06	down	(1213,158)	
2013-11-05 16:24:08	up	(1213,14)	


2013-11-05 16:27:00	------ log is starting ------	SitW Phidgets Key       v4.6 GH v1.4
2013-11-05 16:27:10	right	(1350,459)	
2013-11-05 16:27:12	down	(1350,556)	
2013-11-05 16:27:15	clicked	(1350,556)	
2013-11-05 16:27:15	dclicked	(1350,556)	
2013-11-05 16:27:18	left	(1138,556)	
2013-11-05 16:27:24	up	(1138,13)	
2013-11-05 16:27:28	down	(1138,329)	
2013-11-05 16:27:30	right	(1316,329)	
2013-11-05 16:27:34	up	(1316,13)	
2013-11-05 16:27:36	clicked	(1316,13)	
2013-11-05 16:27:40	dclicked	(1316,13)	
2013-11-05 16:27:44	clicked	(1316,13)	
2013-11-05 16:27:44	dclicked	(1316,13)	
2013-11-05 16:27:48	down	(1316,273)	
2013-11-05 16:28:03	left	(15,273)	
2013-11-05 16:28:07	right	(373,273)	
